customerName,startDate,customerContact,interactionType,info
T&L Parts Distribution,1/10/2026,thelma@tlparts.com,email,Installation scheduling confirmation
T&L Parts Distribution,1/15/2026,louise@tlparts.com,siteVisit,installation; Technician Ramirez
T&L Parts Distribution,1/18/2026,driver1@tlparts.com,supportTicket,Ticket 1001 - Camera not powering on
T&L Parts Distribution,1/20/2026,driver2@tlparts.com,supportTicket,Ticket 1002 - Login issues
T&L Parts Distribution,1/23/2026,driver1@tlparts.com,supportTicket,Ticket 1003 - Mount instability
T&L Parts Distribution,1/27/2026,driver2@tlparts.com,supportTicket,Ticket 1004 - App crash
T&L Parts Distribution,2/2/2026,thelma@tlparts.com,customerSentimentEval,6
T&L Parts Distribution,2/5/2026,driver1@tlparts.com,supportTicket,Ticket 1005 - Device overheating
T&L Parts Distribution,2/9/2026,driver2@tlparts.com,supportTicket,Ticket 1006 - Sync failure
T&L Parts Distribution,2/15/2026,louise@tlparts.com,siteVisit,recall; Technician Nguyen
T&L Parts Distribution,2/20/2026,driver1@tlparts.com,supportTicket,Ticket 1007 - Video lag
T&L Parts Distribution,3/1/2026,driver2@tlparts.com,supportTicket,Ticket 1008 - Camera disconnecting
T&L Parts Distribution,3/8/2026,driver1@tlparts.com,supportTicket,Ticket 1009 - GPS mismatch
T&L Parts Distribution,3/12/2026,thelma@tlparts.com,email,Frustration with repeated recalls
T&L Parts Distribution,3/18/2026,louise@tlparts.com,siteVisit,recall; Technician Patel
T&L Parts Distribution,3/25/2026,driver2@tlparts.com,supportTicket,Ticket 1010 - Driver login reset
T&L Parts Distribution,4/5/2026,louise@tlparts.com,customerSentimentEval,5
T&L Parts Distribution,4/12/2026,driver1@tlparts.com,supportTicket,Ticket 1011 - Camera offline
T&L Parts Distribution,4/18/2026,thelma@tlparts.com,email,Request for additional training
Mid Market District Authority,1/12/2026,ops@mmda.org,siteVisit,installation; Technician Patel
Mid Market District Authority,1/25/2026,admin@mmda.org,email,Initial rollout feedback
Mid Market District Authority,2/5/2026,admin@mmda.org,customerSentimentEval,8
Mid Market District Authority,2/20/2026,ops@mmda.org,supportTicket,Ticket 2001 - Fleet sync delay
Mid Market District Authority,3/5/2026,procurement@mmda.org,email,Large order coordination
