customerName,status,imei,serial,iccid,productType,firmwareVersion,provisionedDate,lastConnect,accessories
T&L Parts Distribution,online,3.51E+14,DI0000000001,89010000000000000001,D210,26.4.1,2026-02-09T02:28:41Z,2026-04-27T12:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000002,89010000000000000002,D210,26.4.1,2026-03-29T19:56:32Z,2026-04-27T17:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000003,89010000000000000003,D210,26.4.1,2026-03-10T22:53:19Z,2026-04-27T04:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000004,89010000000000000004,D210,26.4.1,2026-03-21T03:30:12Z,2026-04-27T15:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000005,89010000000000000005,D210,26.4.1,2026-03-09T02:19:39Z,2026-04-27T12:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000006,89010000000000000006,D210,26.4.1,2026-02-08T13:10:35Z,2026-04-27T23:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000007,89010000000000000007,D210,26.4.1,2026-03-13T07:46:35Z,2026-04-27T16:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000008,89010000000000000008,D210,26.4.1,2026-02-14T08:35:17Z,2026-04-27T12:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000009,89010000000000000009,D210,26.4.1,2026-01-24T12:16:31Z,2026-04-27T16:00:00Z,
T&L Parts Distribution,online,3.51E+14,DI0000000010,89010000000000000010,D210,26.4.1,2026-01-30T07:51:09Z,2026-04-27T09:00:00Z,
T&L Parts Distribution,offline,3.51E+14,DI0000000011,89010000000000000011,D210,26.2.2,2026-01-14T18:09:44Z,2026-04-25T00:00:00Z,
T&L Parts Distribution,offline,3.51E+14,DI0000000012,89010000000000000012,D210,26.2.2,2026-02-24T13:10:37Z,2026-04-21T00:00:00Z,
T&L Parts Distribution,offline,3.51E+14,DI0000000013,89010000000000000013,D210,26.2.2,2026-01-14T19:16:11Z,2026-04-21T00:00:00Z,
